CMPD_CHEMBLID	CANONICAL_SMILES	PCHEMBL_VALUE	ASSAY_CHEMBLID
CHEMBL1835870	Nc1nc(Nc2ccc(cc2)[C@@H]3CC[C@H](CC3)N4CCOCC4)nn1c5ccccn5	6.4	CHEMBL1958992
CHEMBL1836675	CSc1nc(NCc2ccccc2F)c3cnn(CC(C)c4ccccc4)c3n1	6	CHEMBL1837743
CHEMBL1836676	CSc1nc(NCc2ccc(F)cc2)c3cnn(CC(C)c4ccccc4)c3n1	5.73	CHEMBL1837743
CHEMBL1836677	CSc1nc(NCc2ccccc2Cl)c3cnn(CC(C)c4ccccc4)c3n1	6.11	CHEMBL1837743
CHEMBL1836680	CSc1nc(Nc2cccc(Br)c2)c3cnn(CC(C)c4ccccc4)c3n1	5.97	CHEMBL1837743
CHEMBL1836681	Fc1cccc(CNc2ncnc3c2cnn3CCc4ccccc4)c1	5.31	CHEMBL1837743
CHEMBL191003	Nc1nc(Nc2ccc(cc2)S(=O)(=O)N)nn1C(=O)c3c(F)cccc3F	6.4	CHEMBL1963785
CHEMBL1949855	Clc1cccc2C(=O)NC=Nc12	4.4	CHEMBL1963785
CHEMBL196363	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4ncnc(N)c34)c1	6.8	CHEMBL1963785
CHEMBL1964441	CNCC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3	6.8	CHEMBL1963785
CHEMBL1964718	CC1=CN2CC(=O)NN=C2C=C1	4	CHEMBL1963785
CHEMBL1965169	Cc1ccc(cc1)c2cc3nc(Br)cnc3[nH]2	6.1	CHEMBL1963785
CHEMBL1965170	COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CC(O)CO)c5)cc1	8.7	CHEMBL1963785
CHEMBL1965570	Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5ccccc5F)cc4)c13	7	CHEMBL1963785
CHEMBL1965988	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN)c1	6.6	CHEMBL1963785
CHEMBL1966514	Nc1ncc(c2cocc2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	7.5	CHEMBL1963785
CHEMBL1966836	Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4ccc(F)c(c4)C(F)(F)F)cc3	6.7	CHEMBL1963785
CHEMBL1966842	COc1ccc(CN(C)C)cc1Nc2nccc(n2)c3c(nc4sccn34)c5cccc(NC(=O)Cc6ccccc6)c5	5.7	CHEMBL1963785
CHEMBL1967116	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)c1	8.8	CHEMBL1963785
CHEMBL1967252	Cc1n[nH]c2ccc(cc12)c3cccnc3	4.6	CHEMBL1963785
CHEMBL1967513	FC(F)(F)c1cccc(NC(=O)Nc2ccnc3ccc(Cl)cc23)n1	5.7	CHEMBL1963785
CHEMBL1967531	Nc1ncnc2scc(c3ccc(NC(=O)Nc4ccccc4)cc3)c12	6.6	CHEMBL1963785
CHEMBL1967878	CN1CCN(CC1)c2ccc(Nc3ncc(F)c(NC4C5CC(C=C5)C4C(=O)N)n3)cc2C	7.4	CHEMBL1963785
CHEMBL1968130	Nc1nnc2cncc(Cl)n12	4.6	CHEMBL1963785
CHEMBL1968590	CNC(=O)C=Cc1cnc(N)c2c(csc12)c3ccc4sc(C)nc4c3	7.3	CHEMBL1963785
CHEMBL1968868	FC(F)(F)c1ccc2c(NC(=O)Nc3cccc(n3)C#N)ccnc2c1	5.6	CHEMBL1963785
CHEMBL1969102	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cn[nH]c5)c1	8.8	CHEMBL1963785
CHEMBL1969156	Nc1nccc2cnc(c3ccccc3)n12	4.6	CHEMBL1963785
CHEMBL1969190	COc1ccc(c2ccc(NC(=O)Nc3cc(F)cc(F)c3)cc2)c4c(N)noc14	6.3	CHEMBL1963785
CHEMBL1969502	O=C(Nc1cc2C(=O)NN=Cc3c[nH]c(c1)c23)C4CC4c5ccccc5	7	CHEMBL1963785
CHEMBL1969537	S=C1NN=C2N1C3=NNC(=S)N3c4sc5CCCc5c24	7.1	CHEMBL1963785
CHEMBL1969588	Clc1cc(cc(NCc2ccccc2)n1)c3c[nH]c4ncccc34	6.3	CHEMBL1963785
CHEMBL1970083	Nc1ncc(c2ccncc2)c3scc(c4ccc(NC(=O)Nc5cc(ccc5F)C(F)(F)F)cc4)c13	8	CHEMBL1963785
CHEMBL1970104	CC(C)(C)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34	6.8	CHEMBL1963785
CHEMBL1970142	CNC(=O)C(C)n1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(C)cc5)cc4	8.4	CHEMBL1963785
CHEMBL1970290	CCN(CC)CCNC(=O)c1cccc(c1)n2nc(cc2NC(=O)Nc3cccc4ccccc34)C(C)(C)C	5.8	CHEMBL1963785
CHEMBL1970317	Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	8.7	CHEMBL1963785
CHEMBL1970879	COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4nn(C5CCC(CC5)N6CCN(CC6)C(=O)C)c7ncnc(N)c47	6.8	CHEMBL1963785
CHEMBL1971519	Nc1n[nH]c2cccc(c3ccc(F)cc3)c12	4.8	CHEMBL1963785
CHEMBL1971534	NC(=O)c1cc2ccncc2s1	4.1	CHEMBL1963785
CHEMBL1971947	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#Cc5cccnc5)c1	7.2	CHEMBL1963785
CHEMBL1972220	Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4)c13	8.8	CHEMBL1963785
CHEMBL1972355	COc1c2C(=O)C=C(C)Oc2cc(O)c1c3nc4ccccc4[nH]3	6.1	CHEMBL1963785
CHEMBL1972934	Nc1ncnc2sccc12	4.7	CHEMBL1963785
CHEMBL1973178	COc1ccc(c2ccc(NC(=O)Nc3ccc(OC(F)(F)F)cc3)cc2)c4c(N)noc14	6.7	CHEMBL1963785
CHEMBL1973211	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCCC5)c1	6.6	CHEMBL1963785
CHEMBL1973359	NC(=O)c1ccc2nc(cn2c1)c3oc(cc3)[N+](=O)[O-]	6.4	CHEMBL1963785
CHEMBL1973720	NC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34	5.8	CHEMBL1963785
CHEMBL1974254	CCOc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1	9.2	CHEMBL1963785
CHEMBL1974328	Cc1cccc(Nc2nc(NC3CCCCC3N)cnc2C(=O)N)c1	6.6	CHEMBL1963785
CHEMBL1974416	Fc1cccc(C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2)c1F	6.6	CHEMBL1963785
CHEMBL1974664	COc1ccc(C=NNc2ncnc3c4ccccc4[nH]c23)cc1OC	7.2	CHEMBL1963785
CHEMBL1974875	OC(=O)c1csc2C(=O)NCCNc12	4.2	CHEMBL1963785
CHEMBL1975212	Nc1ncnc2scc(c3ccccc3)c12	5.6	CHEMBL1963785
CHEMBL1975503	Nc1ccc(cc1)C2=CC=CN3C(=O)NN=C23	4.3	CHEMBL1963785
CHEMBL1975903	COc1ccccc1c2ccnc(Nc3cccc(c3)S(=O)(=O)C)n2	6.3	CHEMBL1963785
CHEMBL1975921	Brc1cnc2NC(=O)Nc2c1	4.8	CHEMBL1963785
CHEMBL1975927	COc1ccc(cc1)n2ccc3cnc(Nc4cc(OC)c(OC)c(OC)c4)nc23	6.3	CHEMBL1963785
CHEMBL1976040	CN1CCN(CC1)c2ccc(Nc3ncc4C(=O)N(CC=C)N(c5cccc(n5)C(C)(C)O)c4n3)cc2	6.5	CHEMBL1963785
CHEMBL1976134	c1cc2cc(cnc2[nH]1)c3ccc4cn[nH]c4c3	7.3	CHEMBL1963785
CHEMBL1976196	[O-][N+](=O)c1ccc(NC(=O)N2CCc3[nH]c4c(Cl)cc(Cl)cc4c3C2)cc1	5.6	CHEMBL1963785
CHEMBL1976420	CCc1c([nH]c2nccnc12)c3ccc(cc3)C(C)(C)O	5.9	CHEMBL1963785
CHEMBL1976872	CC(=O)Nc1cc2ccccn2n1	4.2	CHEMBL1963785
CHEMBL1977041	COC(=O)c1c(C)n2ncnc(N)c2c1c3ccc(NC(=O)Nc4ccccc4)cc3	6.9	CHEMBL1963785
CHEMBL1977134	Nc1c(cnc2c(cnn12)c3ccc4OCOc4c3)c5ccc(NC(=O)Nc6cccc(c6)C(F)(F)F)cc5	6.7	CHEMBL1963785
CHEMBL1977138	CC(Nc1cncc(n1)n2cnc3ccc(cc23)C#N)c4ccccc4F	6.2	CHEMBL1963785
CHEMBL1977148	COc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(CCO)c5)cc1	9.6	CHEMBL1963785
CHEMBL1977931	CC(=O)c1ccccc1c2ncnc3[nH]ccc23	4.1	CHEMBL1963785
CHEMBL1978166	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCCCCCCCCN)c1	6.9	CHEMBL1963785
CHEMBL1978167	Cn1cc(c2cc3nc(Br)cnc3[nH]2)c4ccccc14	5.9	CHEMBL1963785
CHEMBL1978371	Clc1ccc(cc1)C2CC(=C(C#N)C(=O)C2C(=O)c3ccccc3)c4ccccc4	5.9	CHEMBL1963785
CHEMBL1978562	Cn1cc(c2cc3nc(Br)cnc3[nH]2)c4cc(ccc14)C#N	6.1	CHEMBL1963785
CHEMBL1979252	FC(F)(F)c1cccc(CNC2=C(Nc3ccncc3)C(=O)C2=O)c1	6.4	CHEMBL1963785
CHEMBL1979577	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CC(C)(C)N)c1	6.5	CHEMBL1963785
CHEMBL1979690	CN1CCN(CC1)c2ccc(Nc3ncc(Cl)c(Nc4ccc5[nH]ncc5c4)n3)cc2	7	CHEMBL1963785
CHEMBL1979883	CN(C)CC#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3	6.8	CHEMBL1963785
CHEMBL1980167	CN(C)c1ccc(cc1)c2cc(nc(NS(=O)(=O)c3ccc(N)cc3)n2)c4ccc(cc4)[N+](=O)[O-]	5.9	CHEMBL1963785
CHEMBL1980297	Nc1ncc(c2cnn(CCO)c2)c3scc(c4ccc(NC(=O)Nc5cccc(F)c5)cc4)c13	8.5	CHEMBL1963785
CHEMBL1980329	Oc1ccc(cc1)c2ccc3C(=Cc4ccc[nH]4)C(=O)Nc3c2	7.3	CHEMBL1963785
CHEMBL1980376	Cc1cccc(c1)c2cccc3onc(N)c23	4.6	CHEMBL1963785
CHEMBL1980407	NC(COc1cncc(c1)c2ccc3NC(=O)C(=Cc4ccc[nH]4)c3c2)Cc5ccccc5	7.2	CHEMBL1963785
CHEMBL1980671	Nc1ncnc2Nc3ccccc3NC(=O)c12	5.7	CHEMBL1963785
CHEMBL1980763	CC(C)Cc1nc(Nc2ccc(N3CCOCC3)c(Cl)c2)nc4[nH]ccc14	5.6	CHEMBL1963785
CHEMBL1980904	Nc1n[nH]c2cccc(c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)c(F)c3)c12	6.5	CHEMBL1963785
CHEMBL1980995	CNC1CC2OC(C)(C1OC)n3c4ccccc4c5c6CNC(=O)c6c7c8ccccc8n2c7c35	7	CHEMBL1963785
CHEMBL1981047	COC(C(=O)N1Cc2[nH]nc(NC(=O)c3ccc(cc3)N4CCN(C)CC4)c2C1)c5ccccc5	8.6	CHEMBL1963785
CHEMBL1981492	COC(=O)c1c(N)nc2ccccn12	4	CHEMBL1963785
CHEMBL1981744	FC(F)(F)c1cccc(NC(=O)Nc2ccnc3cc(Cl)ccc23)n1	5.4	CHEMBL1963785
CHEMBL1982465	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCN5CCOCC5)c1	7.4	CHEMBL1963785
CHEMBL1982466	Cc1ccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)c5cnn(C)c5)cc1	8.6	CHEMBL1963785
CHEMBL1982476	CNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(Cl)c4)cc3	9.3	CHEMBL1963785
CHEMBL1982711	NC(=O)c1ccc(cc1)c2c[nH]c3nccc(Cl)c23	6	CHEMBL1963785
CHEMBL1982957	NC(=O)c1cccc(c1)c2cnc3[nH]cc(c4ccccc4)c3c2	7.3	CHEMBL1963785
CHEMBL1983025	CCC(N)(CC)C#Cc1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(C)c4)cc3	6.3	CHEMBL1963785
CHEMBL1983111	CC(=O)NCC(=O)N1C2CCC1c3cc(Nc4ncc(c(NC5CCC5)n4)C(F)(F)F)ccc23	6.6	CHEMBL1963785
CHEMBL1983268	CN1CCN(CC1)c2ccc(C(=O)Nc3n[nH]c4ccc(Cc5cc(F)cc(F)c5)cc34)c(NC6CCOCC6)c2	6.5	CHEMBL1963785
CHEMBL1983348	CCCCN(CCC#N)C(=O)c1ccc2nc([nH]c2c1)c3n[nH]c4ccccc34	5.7	CHEMBL1963785
CHEMBL1983573	Nc1nnc2cccc(c3ccc(C=C)cc3)n12	4.4	CHEMBL1963785
CHEMBL1983575	Oc1c(Br)cc(C=NNC(=O)Nc2ccccc2)cc1Br	6.2	CHEMBL1963785
CHEMBL1983630	O=C1Cc2cc(cnc2N1)c3ccccc3	4.1	CHEMBL1963785
CHEMBL1983640	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3coc4c(cnc(N)c34)C#CCN5CCOCC5)c1	6.4	CHEMBL1963785
CHEMBL1983715	CCNc1nc(C)c(s1)c2ccnc(Nc3ccc(cc3)N4CCN(CC4)C(=O)C)n2	6.6	CHEMBL1963785
CHEMBL1983923	CN1CCN(CC1)c2cc(Nc3cc(C)[nH]n3)nc(C=Cc4ccccc4)n2	6.7	CHEMBL1963785
CHEMBL1983963	Cc1cccc(NC(=O)Nc2ccc(cc2)c3coc4ncnc(N)c34)c1	6.7	CHEMBL1963785
CHEMBL1983980	OCc1ccc(cc1)c2sc(nc2C(=O)O)N3CCc4cccc(C(=O)Nc5nc6ccccc6s5)c4C3	5.8	CHEMBL1963785
CHEMBL1984162	COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(C)cc(C)cc5n4)cc3)c6c(N)ncnc26	6.4	CHEMBL1963785
CHEMBL1985367	Cc1ccnc(Nc2cc(C)nc(n2)c3ccccc3)c1	6	CHEMBL1963785
CHEMBL1985888	Cn1nc(N)c2c(ccnc12)c3ccc(NC(=O)Nc4cccc(c4)C(F)(F)F)cc3	6.7	CHEMBL1963785
CHEMBL1986590	O=C1Nc2ccccc2C1=Cc3c[nH]c4ccccc34	5.9	CHEMBL1963785
CHEMBL1986899	Cc1ccc(NCc2ccc(nc2)c3ccc(F)cc3)cc1	5.7	CHEMBL1963785
CHEMBL1986943	OC1CCC(CC1)Nc2nc(Cl)cc(n2)c3c[nH]c4ncccc34	6.2	CHEMBL1963785
CHEMBL1987034	NS(=O)(=O)c1cccc(Nc2ncc(Br)c(Nc3ccc(OCC#N)cc3)n2)c1	7	CHEMBL1963785
CHEMBL1987054	COCCOC1CCC(CC1)n2nc(c3ccc(Nc4oc5c(Cl)cc(C)cc5n4)cc3)c6c(N)ncnc26	6.3	CHEMBL1963785
CHEMBL1988075	Cc1ccc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	7.4	CHEMBL1963785
CHEMBL1988141	CCC(=O)Nc1ccc(C(=O)N2CCNCC2)c(O)c1	6	CHEMBL1963785
CHEMBL1988300	Nc1ccc(cc1)c2csc3c(C=Cc4nc5ccccc5[nH]4)cnc(N)c23	7.3	CHEMBL1963785
CHEMBL1988387	Cn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5ccc(OC(F)F)cc5)cc4	8.6	CHEMBL1963785
CHEMBL1988437	CNC(=O)c1ccccc1Sc2ccc3c(C=Cc4ccccn4)n[nH]c3c2	8.5	CHEMBL1963785
CHEMBL1988581	CN(C)CC1=C(O)C2=NC(=CC(=O)N2C=C1)C	7.1	CHEMBL1963785
CHEMBL1988692	CC(C)NC1=NNC(=O)C1=Cc2cc3ccccc3[nH]2	6.6	CHEMBL1963785
CHEMBL1988717	Cn1cc(cn1)c2cnn3c(N)c(cnc23)c4ccc(NC(=O)Nc5cccc(c5)C(F)(F)F)cc4	7.8	CHEMBL1963785
CHEMBL1988838	Cc1cnc(Nc2cccc(c2)S(=O)(=O)N)nc1Nc3ccc(OCC(=O)N)cc3	6.7	CHEMBL1963785
CHEMBL1989267	COc1cc(ccc1NC(=O)c2cc3ccccc3n2C)c4csc5c(C=CC(=O)NCCN(C)C)cnc(N)c45	7.9	CHEMBL1963785
CHEMBL1989471	CC(C)c1ccc2C(=O)c3c(C)ccnc3Nc2c1	6.6	CHEMBL1963785
CHEMBL1990884	Cc1cc(C)c2oc(Nc3ccc(cc3F)c4cccc(C(=O)N)c4N)nc2c1	7	CHEMBL1963785
CHEMBL1991095	Nc1c(cnc2c(Br)cnn12)C#N	4.1	CHEMBL1963785
CHEMBL1991734	CN1c2ccc(N)cc2C(c3ccccc3)c4cc(N)ccc14	6.2	CHEMBL1963785
CHEMBL1992042	Fc1ccc(cc1)C(=O)Nc2cccc(c2)C3Nc4ccc5ccccc5c4C6C=CCC36	5.9	CHEMBL1963785
CHEMBL1992125	COc1cc(Nc2ncnc(n2)N3CCCc4cc(C)ccc34)cc(OC)c1OC	5.7	CHEMBL1963785
CHEMBL1992306	CNC(=O)c1cc(Oc2ccc(NC(=O)Nc3cccc(c3)C(F)(F)F)cc2)ccn1	6.2	CHEMBL1963785
CHEMBL1992473	CN(C)c1c(NC(=O)c2c(F)cccc2F)cccc1c3nc4sccn4c3c5ccnc(Nc6cccc(c6)N7CCOCC7)n5	6.3	CHEMBL1963785
CHEMBL1992581	FC(F)Sc1ccc(NC(=O)Cc2ccc(cc2)c3cccnc3)cc1	6.7	CHEMBL1963785
CHEMBL1992673	Clc1ccc2NC(=O)n3ncnc3c2c1	4.4	CHEMBL1963785
CHEMBL1992937	Cc1ccc(Nc2nc3ccc(cc3[nH]2)[N+](=O)[O-])nc1	6.1	CHEMBL1963785
CHEMBL1993335	Cn1cc(c2cc3nc(Br)cnc3[nH]2)c4cc(F)ccc14	6.8	CHEMBL1963785
CHEMBL1993661	CNS(=O)(=O)c1ccccc1Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)ncc2Cl	8.1	CHEMBL1963785
CHEMBL1993877	Nc1ncnc2c1c(cn2C3CCCC3)C#C	6	CHEMBL1963785
CHEMBL1993904	NC(=O)c1cc2c(cnc(N)c2s1)c3ccc(Nc4oc5ccccc5n4)cc3	5.8	CHEMBL1963785
CHEMBL1993941	CCCn1cc(cn1)c2cnc(N)c3c(csc23)c4ccc(NC(=O)Nc5cccc(F)c5)cc4	8.9	CHEMBL1963785
CHEMBL1994159	CC(=O)c1cccc(c1)c2ccc3nccn3n2	4.3	CHEMBL1963785
CHEMBL1994321	Cc1cccc(NC(=O)Nc2ccc(cc2)c3csc4c(cnc(N)c34)C#CCNS(=O)(=O)C)c1	7.1	CHEMBL1963785
CHEMBL1994555	CCc1c([nH]c2nccnc12)c3ccc(cc3)C(=O)C	5.7	CHEMBL1963785
CHEMBL1994808	Cc1nnc(c2ccccc2)c(n1)C#N	4	CHEMBL1963785
CHEMBL1995765	NC1=CC(=O)NN1c2ccccn2	4.9	CHEMBL1963785
CHEMBL1996048	Cc1ccc(cc1)c2cc3c(NCCN)ccc(C(=O)N)c3[nH]2	5.7	CHEMBL1963785
CHEMBL1996066	Nc1nc2ccc(cc2n1c3nc(cs3)c4ccccc4)C#N	8	CHEMBL1963785
CHEMBL1996255	Cc1ccc(F)c(NC(=O)Nc2ccc(cc2)c3c(F)ccc4[nH]nc(N)c34)c1	6.3	CHEMBL1963785
CHEMBL1996646	COc1cccc(OC)c1CNc2nc(NC3CCCCC3)nc4ccc(Cl)cc24	6.4	CHEMBL1963785
CHEMBL1996649	CCN(CC)CCCNC(=O)c1cnc(N)c2c(csc12)c3ccc(NC(=O)Nc4cccc(F)c4)cc3	8.1	CHEMBL1963785
CHEMBL1996702	COc1cc(ccc1O)c2ccc3C(=O)Nc4cc(ccc4Nc3c2)C(=O)NCCCN(C)C	6.6	CHEMBL1963785
CHEMBL1996979	Fc1cccc(F)c1C(=O)Nc2cnc3[nH]cc(c4ccccc4)c3c2	8	CHEMBL1963785
CHEMBL1997119	Nc1ncc2cccc(c3ccccc3)n12	4.6	CHEMBL1963785
CHEMBL1997129	O=C1NCCc2[nH]c(cc12)c3ccnc(C=Cc4ccccc4)c3	6.3	CHEMBL1963785
CHEMBL1997275	COc1ccc2[nH]cc(C=C3C(=O)Nc4ccccc34)c2c1	5.9	CHEMBL1963785
CHEMBL1997617	CN1CCN(CC1)C2CCC(CC2)n3cc(c4ccc(Oc5ccccc5)cc4)c6c(N)ncnc36	8.4	CHEMBL1963785
CHEMBL1997822	Cc1cc2cc(ccc2[nH]1)c3csc4c(cnc(N)c34)c5cccc(c5)S(=O)(=O)C	8.4	CHEMBL1963785
CHEMBL1997924	C(Nc1nc(Nc2cc([nH]n2)C3CC3)c4sccc4n1)c5ccccc5	8	CHEMBL1963785
CHEMBL1998228	Clc1cc2nnc(c3ccccc3)n2cn1	4.2	CHEMBL1963785
CHEMBL1998585	Nc1ncnc2scc(c3ccc(NC(=O)Nc4cc(ccc4F)C(F)(F)F)cc3)c12	7.5	CHEMBL1963785
